Tiempo Total;Max_Cola;Promedio_Espera
281,20;78;3,49
290,32;36;2,14
293,95;19;1,15
300,60;13;1,19
289,67;44;2,24
295,73;19;1,73
304,82;8;1,19
281,53;79;2,68
288,15;30;2,46
300,52;27;1,40
282,90;107;4,01
303,40;32;1,24
299,10;12;1,22
292,40;49;3,27
301,32;18;1,29
281,37;67;3,36
285,12;131;5,67
282,47;39;2,15
292,33;47;3,21
291,62;7;0,90
291,12;18;1,76
294,97;47;1,77
277,45;46;3,33
296,83;21;1,32
289,82;65;3,65
284,42;68;3,36
299,17;29;1,39
281,93;112;4,22
289,85;30;1,40
272,57;100;5,08
291,25;18;1,57
307,83;13;0,96
296,65;19;1,48
279,48;83;3,26
291,85;111;5,12
282,33;15;1,15
269,27;170;7,26
283,07;88;2,82
283,70;27;2,02
292,58;34;3,30
294,63;40;2,19
303,63;7;0,83
298,47;15;1,43
278,08;90;5,15
275,35;67;3,46
303,35;18;1,65
278,67;173;9,73
285,97;66;2,89
295,98;10;1,22
288,07;29;2,58
288,42;53;2,14
280,90;34;2,38
288,45;68;3,05
287,47;136;7,57
284,37;85;3,44
275,98;130;4,83
289,18;54;2,30
295,30;32;2,04
274,23;48;2,27
298,00;9;1,06
283,90;55;2,31
307,17;15;1,14
295,50;39;2,09
294,90;40;1,68
279,03;51;2,74
283,93;137;8,53
273,40;129;6,14
296,95;19;1,09
280,60;91;4,35
